latitude,longitude,mean_rr20mm
59.84985928248497,6.0498603667859,3.5
59.84985928248497,5.9498603671859485,3.5
60.64985924938422,5.649860368386086,3.2
60.64985924938422,5.749860367986042,3.1
60.749859245246626,5.849860367585993,3.1
60.14985927007219,5.849860367585993,3.1
60.34985926179701,5.749860367986042,3.1
60.54985925352182,5.649860368386086,3.1
60.44985925765941,5.849860367585993,3.0
60.749859245246626,5.749860367986042,3.0
60.54985925352182,5.749860367986042,3.0
47.24985980382179,9.349860353584372,3.0
60.749859245246626,5.649860368386086,3.0
59.84985928248497,5.849860367585993,3.0
59.54985929489776,5.9498603671859485,3.0
60.249859265934596,5.9498603671859485,3.0
60.64985924938422,5.849860367585993,2.9
60.44985925765941,5.9498603671859485,2.9
60.44985925765941,5.749860367986042,2.9
60.54985925352182,5.9498603671859485,2.9
